CodigoNacional;NombreEstacion;Latitud;Altura;Año;Mes;Dia;T.Maxima;T.Minima
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;07;15.1;24.7
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;08;15.0;23.3
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;09;14.3;23.9
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;10;15.0;23.4
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;11;14.7;22.4
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;12;14.0;24.5
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;13;14.5;23.6
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;14;14.9;23.2
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;15;14.9;23.4
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;16;14.3;24.2
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;17;15.0;21.9
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;18;16.3;21.3
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;19;16.6;24.0
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;20;17.5;23.9
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;21;15.6;24.6
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;22;16.3;24.9
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;23;17.3;22.3
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;24;16.8;25.8
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;25;14.9;24.1
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;26;15.8;24.9
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;27;16.9;24.9
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;28;15.9;25.1
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;29;17.4;24.2
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;30;15.8;
290004;La Florida, La Serena Ad.;29&deg 55' 3'' S;142;2016;01;31;18.4;23.2
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;01;12.4;21.4
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;02;13.2;21.4
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;03;13.5;21.6
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;04;14.4;21.1
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;05;14.2;24.1
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;06;15.2;21.0
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;07;15.0;20.8
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;08;15.2;22.0
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;09;13.1;25.3
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;10;13.6;23.9
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;11;14.0;19.9
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;12;11.6;22.3
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;13;12.4;24.2
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;14;12.4;23.6
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;15;12.8;28.5
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;16;14.0;28.8
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;17;12.7;29.3
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;18;13.9;20.5
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;19;14.7;24.2
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;20;14.4;22.3
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;21;14.7;22.8
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;22;13.8;24.1
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;23;14.4;21.3
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;24;14.4;24.4
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;25;13.2;23.1
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;26;12.9;25.7
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;27;13.8;27.0
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;28;14.8;27.2
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;29;14.0;22.7
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;30;13.1;29.4
330007;Rodelillo, Ad.;33&deg 2' 12'' S;330;2016;01;31;15.8;20.5
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;01;14.8;29.8
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;02;13.5;28.1
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;03;13.4;26.2
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;04;16.4;27.2
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;05;17.6;29.2
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;06;17.8;28.6
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;07;16.6;26.0
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;08;16.0;23.6
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;09;13.8;30.4
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;10;13.3;31.2
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;11;13.8;26.0
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;12;12.1;24.4
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;13;11.8;31.0
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;14;14.1;28.3
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;15;13.0;32.0
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;16;13.2;32.4
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;17;16.0;34.2
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;18;16.3;31.7
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;19;15.0;31.0
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;20;17.6;32.4
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;21;16.0;28.0
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;22;15.5;30.0
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;23;14.4;25.8
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;24;12.8;24.4
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;25;13.0;21.0
330019;Eulógio Sánchez, Tobalaba Ad.;33&deg 27' 16'' S;650;2016;01;26;12.7;27.6
